Date,Adj Close,Close,High,Low,Open,Volume
,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
2021-01-01,892.4838256835938,917.23095703125,921.6151733398438,914.6926879882812,917.461669921875,10015175
2021-01-04,893.9882202148438,918.7769775390625,922.4920043945312,908.231689453125,920.7383422851562,24513534
2021-01-05,882.8742065429688,907.3548583984375,915.4310913085938,902.6936645507812,908.6931762695312,24123091
2021-01-06,859.591064453125,883.4260864257812,907.3086547851562,879.2264404296875,907.2625122070312,46401468
2021-01-07,858.198974609375,881.9954223632812,897.6171875,879.2264404296875,886.3104248046875,32325918
2021-01-08,868.3250122070312,892.4022216796875,894.5712890625,882.433837890625,885.1566772460938,27540187
2021-01-11,851.9570922851562,875.58056640625,894.755859375,873.388427734375,894.755859375,33307825
2021-01-12,878.8103637695312,903.1782836914062,904.5396728515625,876.8035278320312,878.2341918945312,41161546
2021-01-13,870.6151123046875,894.755859375,911.4390869140625,885.3643798828125,906.177978515625,26619458
2021-01-14,880.4044189453125,904.8165893554688,907.7240600585938,894.8712768554688,897.6171875,21553242
2021-01-15,870.0089111328125,894.1328735351562,910.9083862304688,886.102783203125,904.8165893554688,20593268
2021-01-18,890.8897094726562,915.5925903320312,921.6151733398438,887.625732421875,899.5093383789062,35100458
2021-01-19,905.4613647460938,930.5682983398438,937.30615234375,920.5306396484375,920.5306396484375,32006615
2021-01-20,922.659912109375,948.2437133789062,949.7666625976562,923.645751953125,932.8757934570312,30924537
2021-01-21,942.7323608398438,968.8727416992188,978.379638671875,957.6121826171875,960.8426513671875,39087742
2021-01-22,920.3697509765625,945.8900756835938,976.2337036132812,939.2213745117188,974.2261352539062,30532660
2021-01-25,871.60302734375,895.7711791992188,939.1290893554688,891.61767578125,939.1290893554688,54207104
2021-01-27,850.9468383789062,874.5421752929688,888.38720703125,871.3117065429688,888.38720703125,42370131
2021-01-28,842.661865234375,866.0275268554688,887.6026611328125,863.0046997070312,867.6889038085938,34067814
2021-01-29,827.1248168945312,850.0596313476562,882.8953247070312,844.544677734375,874.2191162109375,43712383
2021-02-01,851.08154296875,874.6806640625,879.1571655273438,852.8516845703125,858.11279296875,34180952
2021-02-02,864.7775268554688,888.7564086914062,895.3096923828125,856.0591430664062,883.4260864257812,41470034
2021-02-03,866.9555053710938,890.9946899414062,900.84765625,876.8496704101562,889.91015625,30301696
2021-02-04,864.10400390625,888.0641479492188,895.3096923828125,879.1571655273438,887.9256591796875,25626981
2021-02-05,863.85693359375,887.810302734375,897.4556884765625,886.0797119140625,890.7177734375,20248046
2021-02-08,876.295654296875,900.5938720703125,908.6931762695312,890.2562866210938,892.1022338867188,21183400
2021-02-09,878.4060668945312,902.7628784179688,918.2000732421875,900.9861450195312,905.4396362304688,19604141
2021-02-10,886.5563354492188,911.1390991210938,915.9617919921875,889.4486083984375,901.6553344726562,21234156
2021-02-11,923.10888671875,948.7052001953125,952.6279907226562,910.1930541992188,913.7696533203125,42539278
2021-02-12,916.7774047851562,942.1980590820312,958.9966430664062,930.1067504882812,948.6129150390625,30497029
